,Time,Actual,Predict
378,2022-10-07 21:35:00,0.97839,0.97433
379,2022-10-07 21:40:00,0.97801,0.97454
380,2022-10-07 21:45:00,0.97788,0.97417
381,2022-10-07 21:50:00,0.97794,0.97384
382,2022-10-07 21:55:00,0.97805,0.97373
383,2022-10-07 22:00:00,0.97666,0.97343
384,2022-10-07 22:05:00,0.97652,0.97323
385,2022-10-07 22:10:00,0.97593,0.9734
386,2022-10-07 22:15:00,0.97587,0.97304
387,2022-10-07 22:20:00,0.97615,0.97305
388,2022-10-07 22:25:00,0.97573,0.97301
389,2022-10-07 22:30:00,0.97609,0.97295
390,2022-10-07 22:35:00,0.9761,0.97295
391,2022-10-07 22:40:00,0.97585,0.97304
392,2022-10-07 22:45:00,0.97575,0.97358
393,2022-10-07 22:50:00,0.97625,0.97314
394,2022-10-07 22:55:00,0.97676,0.97353
395,2022-10-07 23:00:00,0.97652,0.97353
396,2022-10-07 23:05:00,0.9767,0.97375
397,2022-10-07 23:10:00,0.97639,0.97369
398,2022-10-07 23:15:00,0.97623,0.97384
399,2022-10-07 23:20:00,0.9767,0.97388
400,2022-10-07 23:25:00,0.97641,0.97399
401,2022-10-07 23:30:00,0.976,0.97374
402,2022-10-07 23:35:00,0.97569,0.97408
403,2022-10-07 23:40:00,0.97564,0.97402
404,2022-10-07 23:45:00,0.976,0.97397
405,2022-10-07 23:50:00,0.97621,0.97367
406,2022-10-07 23:55:00,0.97582,0.97372
407,2022-10-10 00:05:00,0.97532,0.97301
408,2022-10-10 00:10:00,0.97481,0.97338
409,2022-10-10 00:15:00,0.97483,0.97354
410,2022-10-10 00:20:00,0.97478,0.97321
411,2022-10-10 00:25:00,0.97429,0.97346
412,2022-10-10 00:30:00,0.9741,0.97348
413,2022-10-10 00:35:00,0.97403,0.97363
414,2022-10-10 00:40:00,0.97354,0.97351
415,2022-10-10 00:45:00,0.97354,0.9735
416,2022-10-10 00:50:00,0.9736,0.97364
417,2022-10-10 00:55:00,0.97333,0.97358
418,2022-10-10 01:00:00,0.97322,0.97348
419,2022-10-10 01:05:00,0.97341,0.97309
420,2022-10-10 01:10:00,0.97321,0.97353
421,2022-10-10 01:15:00,0.97313,0.97363
422,2022-10-10 01:20:00,0.97343,0.97368
423,2022-10-10 01:25:00,0.9737,0.97353
424,2022-10-10 01:30:00,0.97355,0.97346
425,2022-10-10 01:35:00,0.97354,0.97318
426,2022-10-10 01:40:00,0.97385,0.9731
427,2022-10-10 01:45:00,0.97372,0.97323
428,2022-10-10 01:50:00,0.97365,0.97336
429,2022-10-10 01:55:00,0.97381,0.97328
430,2022-10-10 02:00:00,0.97383,0.97312
431,2022-10-10 02:05:00,0.97389,0.97313
432,2022-10-10 02:10:00,0.97388,0.97342
433,2022-10-10 02:15:00,0.97402,0.97346
434,2022-10-10 02:20:00,0.97407,0.97371
435,2022-10-10 02:25:00,0.97388,0.9736
436,2022-10-10 02:30:00,0.97353,0.97353
437,2022-10-10 02:35:00,0.97381,0.97301
438,2022-10-10 02:40:00,0.97312,0.97319
439,2022-10-10 02:45:00,0.97351,0.97311
440,2022-10-10 02:50:00,0.97357,0.97322
441,2022-10-10 02:55:00,0.9733,0.97308
442,2022-10-10 03:00:00,0.97353,0.97335
443,2022-10-10 03:05:00,0.97362,0.97357
444,2022-10-10 03:10:00,0.97373,0.97331
445,2022-10-10 03:15:00,0.97347,0.97311
446,2022-10-10 03:20:00,0.97361,0.97317
447,2022-10-10 03:25:00,0.97359,0.97299
448,2022-10-10 03:30:00,0.97359,0.97269
449,2022-10-10 03:35:00,0.97337,0.97255
450,2022-10-10 03:40:00,0.973,0.97298
451,2022-10-10 03:45:00,0.97364,0.97339
452,2022-10-10 03:50:00,0.97357,0.97355
453,2022-10-10 03:55:00,0.97374,0.97403
454,2022-10-10 04:00:00,0.97352,0.97385
455,2022-10-10 04:05:00,0.97328,0.97383
456,2022-10-10 04:10:00,0.97319,0.97409
457,2022-10-10 04:15:00,0.97308,0.97438
458,2022-10-10 04:20:00,0.97324,0.97411
459,2022-10-10 04:25:00,0.97339,0.97423
460,2022-10-10 04:30:00,0.97335,0.97395
461,2022-10-10 04:35:00,0.97313,0.97422
462,2022-10-10 04:40:00,0.97329,0.97452
463,2022-10-10 04:45:00,0.97342,0.9746
464,2022-10-10 04:50:00,0.97344,0.97521
465,2022-10-10 04:55:00,0.97363,0.97497
466,2022-10-10 05:00:00,0.97353,0.97524
467,2022-10-10 05:05:00,0.97351,0.97489
468,2022-10-10 05:10:00,0.97304,0.97492
469,2022-10-10 05:15:00,0.97322,0.97451
470,2022-10-10 05:20:00,0.97323,0.97472
471,2022-10-10 05:25:00,0.97324,0.97454
472,2022-10-10 05:30:00,0.97313,0.97439
473,2022-10-10 05:35:00,0.97348,0.9743
474,2022-10-10 05:40:00,0.97346,0.97432
475,2022-10-10 05:45:00,0.97324,0.97424
476,2022-10-10 05:50:00,0.97319,0.9741
477,2022-10-10 05:55:00,0.97307,0.97395
478,2022-10-10 06:00:00,0.97307,0.97431
479,2022-10-10 06:05:00,0.97283,0.97451
480,2022-10-10 06:10:00,0.97271,0.97388
481,2022-10-10 06:15:00,0.97311,0.97414
482,2022-10-10 06:20:00,0.97351,0.97387
483,2022-10-10 06:25:00,0.9737,0.97388
484,2022-10-10 06:30:00,0.97406,0.97342
485,2022-10-10 06:35:00,0.97377,0.97359
486,2022-10-10 06:40:00,0.974,0.97328
487,2022-10-10 06:45:00,0.97423,0.97328
488,2022-10-10 06:50:00,0.97435,0.97299
489,2022-10-10 06:55:00,0.97422,0.97312
490,2022-10-10 07:00:00,0.97433,0.97351
491,2022-10-10 07:05:00,0.9741,0.9736
492,2022-10-10 07:10:00,0.97437,0.97358
493,2022-10-10 07:15:00,0.97461,0.97355
494,2022-10-10 07:20:00,0.97473,0.97374
495,2022-10-10 07:25:00,0.97482,0.97374
496,2022-10-10 07:30:00,0.975,0.9734
497,2022-10-10 07:35:00,0.97504,0.97338
498,2022-10-10 07:40:00,0.97498,0.97341
499,2022-10-10 07:45:00,0.97486,0.97368
500,2022-10-10 07:50:00,0.97461,0.97374
501,2022-10-10 07:55:00,0.97464,0.97397
502,2022-10-10 08:00:00,0.97458,0.97384
503,2022-10-10 08:05:00,0.97456,0.97408
504,2022-10-10 08:10:00,0.97448,0.97386
505,2022-10-10 08:15:00,0.97449,0.97387
506,2022-10-10 08:20:00,0.97443,0.9738
507,2022-10-10 08:25:00,0.97427,0.97406
508,2022-10-10 08:30:00,0.9743,0.97391
509,2022-10-10 08:35:00,0.97454,0.9726
510,2022-10-10 08:40:00,0.97426,0.97227
511,2022-10-10 08:45:00,0.97409,0.9721
512,2022-10-10 08:50:00,0.97438,0.97218
513,2022-10-10 08:55:00,0.97403,0.97203
514,2022-10-10 09:00:00,0.97372,0.97181
515,2022-10-10 09:05:00,0.97367,0.97197
516,2022-10-10 09:10:00,0.97359,0.97255
517,2022-10-10 09:15:00,0.97333,0.97274
518,2022-10-10 09:20:00,0.97333,0.97299
519,2022-10-10 09:25:00,0.97338,0.97284
520,2022-10-10 09:30:00,0.97351,0.97282
521,2022-10-10 09:35:00,0.97378,0.97259
522,2022-10-10 09:40:00,0.97376,0.97219
523,2022-10-10 09:45:00,0.97368,0.97251
524,2022-10-10 09:50:00,0.97382,0.9728
525,2022-10-10 09:55:00,0.97391,0.97292
526,2022-10-10 10:00:00,0.97374,0.97219
527,2022-10-10 10:05:00,0.97343,0.97237
528,2022-10-10 10:10:00,0.97349,0.97264
529,2022-10-10 10:15:00,0.97344,0.97282
530,2022-10-10 10:20:00,0.97389,0.97262
531,2022-10-10 10:25:00,0.97385,0.97276
532,2022-10-10 10:30:00,0.97405,0.9726
533,2022-10-10 10:35:00,0.97399,0.97225
534,2022-10-10 10:40:00,0.97413,0.97229
535,2022-10-10 10:45:00,0.97387,0.97142
536,2022-10-10 10:50:00,0.97395,0.9707
537,2022-10-10 10:55:00,0.97398,0.97045
538,2022-10-10 11:00:00,0.97416,0.97086
539,2022-10-10 11:05:00,0.97366,0.97067
540,2022-10-10 11:10:00,0.97209,0.97021
541,2022-10-10 11:15:00,0.9723,0.96968
542,2022-10-10 11:20:00,0.97221,0.96933
543,2022-10-10 11:25:00,0.97209,0.96973
544,2022-10-10 11:30:00,0.97214,0.9698
545,2022-10-10 11:35:00,0.9717,0.96915
546,2022-10-10 11:40:00,0.9722,0.96895
547,2022-10-10 11:45:00,0.97254,0.96878
548,2022-10-10 11:50:00,0.97312,0.96939
549,2022-10-10 11:55:00,0.9731,0.96952
550,2022-10-10 12:00:00,0.97281,0.96947
551,2022-10-10 12:05:00,0.973,0.97034
552,2022-10-10 12:10:00,0.97234,0.97066
553,2022-10-10 12:15:00,0.97223,0.97069
554,2022-10-10 12:20:00,0.97257,0.9706
555,2022-10-10 12:25:00,0.97295,0.97078
556,2022-10-10 12:30:00,0.97284,0.97043
557,2022-10-10 12:35:00,0.9719,0.97037
