,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t)
6339,0.53219604,0.5306034,0.5317364,0.5408726,0.53479195,0.44419813,0.45062667,0.46409813,0.53264046,0.53030205,0.47122574,0.53219604
6340,0.53219604,0.5319309,0.52965736,0.5397396,0.5346012,0.44419813,0.4509066,0.46368125,0.53264046,0.53030205,0.47431374,0.52215767
6341,0.52215767,0.53079414,0.5292797,0.5308666,0.53229904,0.22576426,0.44404852,0.46181202,0.53273773,0.52980804,0.48281288,0.51761436
6342,0.51761436,0.5216961,0.52002335,0.52350235,0.52926826,0.17375694,0.43563917,0.45843354,0.5280323,0.5250683,0.4837799,0.5140152
6343,0.5140152,0.517149,0.51530266,0.52407074,0.5258522,0.14112705,0.42679283,0.4537498,0.52563286,0.5226021,0.48184776,0.5174236
6344,0.5174236,0.51373863,0.5149231,0.5233154,0.5228634,0.26247972,0.4227609,0.44909993,0.5254402,0.5224056,0.48049545,0.517992
6345,0.517992,0.5173397,0.5175667,0.52274895,0.5199871,0.281753,0.42049778,0.44487327,0.5252476,0.5224056,0.48069,0.5145836
6346,0.5145836,0.51752853,0.5156784,0.5231266,0.5184517,0.23611684,0.4167762,0.44065857,0.52505684,0.5224056,0.48088074,0.5107956
6347,0.5107956,0.5141182,0.5115242,0.5133114,0.5170708,0.19387619,0.41168073,0.43614578,0.5233288,0.520628,0.48011017,0.50605965
6348,0.50605965,0.509758,0.50717735,0.5153847,0.51545906,0.15147986,0.4048844,0.43101367,0.5200653,0.51717377,0.48126793,0.5051117
6349,0.5051117,0.50577927,0.50699043,0.51444244,0.51296425,0.14383923,0.39956456,0.4257167,0.5197773,0.5170765,0.4816532,0.505682
6350,0.505682,0.5046425,0.50717735,0.5142536,0.51047325,0.1658831,0.39655674,0.4208056,0.5150738,0.5170765,0.48126793,0.5058708
6351,0.5058708,0.5053997,0.5073662,0.5142536,0.50870705,0.1737972,0.39512098,0.4165552,0.5138264,0.5165825,0.48223495,0.49962234
6352,0.49962234,0.5053997,0.5066128,0.50972366,0.50644493,0.11723,0.3902877,0.41207257,0.5136337,0.51638603,0.4820404,0.50037766
6353,0.50037766,0.49952698,0.503212,0.5099125,0.5052948,0.14769563,0.387902,0.40795225,0.51190376,0.5144081,0.48184776,0.49450684
6354,0.49450684,0.4997139,0.4979229,0.50122833,0.5031452,0.102697045,0.38268036,0.4034867,0.508255,0.50937843,0.48107338,0.5011368
6355,0.5011368,0.49403,0.49848938,0.5025482,0.5022259,0.31300557,0.3843138,0.40028003,0.50614357,0.50937843,0.47528076,0.50094604
6356,0.50094604,0.5008526,0.49905586,0.5085888,0.50123024,0.31051248,0.3863802,0.39817744,0.5040302,0.50918007,0.47431374,0.51060486
6357,0.51060486,0.50066376,0.50925636,0.509346,0.5034542,0.52902037,0.39586744,0.39861983,0.5049896,0.50918007,0.47431374,0.49355888
6358,0.49355888,0.51013756,0.5075569,0.5036812,0.5020733,0.3221326,0.39179426,0.39806163,0.5049896,0.50918007,0.4719982,0.48711967
6359,0.48711967,0.49365044,0.4911232,0.49726295,0.500576,0.27252656,0.38479573,0.39604792,0.5015335,0.5056267,0.4692936,0.48200607
6360,0.48200607,0.4864483,0.48885536,0.49160004,0.4967022,0.23814662,0.3765411,0.39258847,0.5003834,0.5044403,0.4692936,0.48068047
6361,0.48068047,0.4815216,0.48337936,0.490654,0.49259567,0.22949325,0.3701297,0.38838524,0.49759865,0.5015793,0.46639633,0.48106003
6362,0.48106003,0.48038673,0.481678,0.49027634,0.48661232,0.23740403,0.3664653,0.38420206,0.49673653,0.5004921,0.46601105,0.48295403
6363,0.48295403,0.4807644,0.48186684,0.48952293,0.48446655,0.27886957,0.36608785,0.380771,0.49673653,0.50029755,0.46639633,0.47992516
6364,0.47992516,0.48228073,0.48054504,0.48706818,0.48300743,0.25207335,0.36473733,0.37772375,0.4961586,0.49970627,0.4662037,0.48503685
6365,0.48503685,0.47943878,0.48281097,0.48952293,0.4836216,0.36165124,0.36851358,0.37613156,0.4961586,0.49861908,0.46601105,0.48522568
6366,0.48522568,0.48550224,0.4858322,0.4942417,0.48454094,0.3655786,0.37271255,0.37579808,0.49529457,0.49842262,0.46639633,0.49564362
6367,0.49564362,0.4839859,0.49414444,0.4934883,0.48749542,0.54682434,0.38457364,0.37818733,0.4884777,0.4935856,0.4658165,0.49469757
6368,0.49469757,0.49554634,0.49509048,0.50217056,0.4898739,0.53226405,0.39410454,0.38223296,0.48895836,0.49230385,0.46562386,0.4929924
6369,0.4929924,0.49440956,0.4932003,0.501606,0.4925213,0.5050877,0.40115386,0.38704804,0.48895836,0.49230385,0.46504593,0.4910984
6370,0.4910984,0.49251366,0.4918785,0.50122833,0.4937477,0.47474104,0.40604177,0.39199463,0.48895836,0.49230385,0.46794128,0.49412918
