<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2023.01.25,9:00:00,1.09064,1.09068,1.09028,1.09049,465,0,0
2023.01.25,9:05:00,1.09049,1.09054,1.09016,1.09039,334,0,0
2023.01.25,9:10:00,1.09038,1.09078,1.09034,1.09071,307,0,0
2023.01.25,9:15:00,1.09073,1.09102,1.09063,1.09099,289,0,0
2023.01.25,9:20:00,1.09098,1.09113,1.09058,1.09059,345,0,0
2023.01.25,9:25:00,1.09059,1.09069,1.09012,1.09044,364,0,0
2023.01.25,9:30:00,1.09043,1.09054,1.0896,1.08969,423,0,0
2023.01.25,9:35:00,1.08968,1.08992,1.08953,1.08964,276,0,0
2023.01.25,9:40:00,1.08964,1.08966,1.08916,1.08942,247,0,0
2023.01.25,9:45:00,1.08939,1.08948,1.08847,1.0885,437,0,0
2023.01.25,9:50:00,1.0885,1.08867,1.08788,1.08813,445,0,0
2023.01.25,9:55:00,1.08812,1.08853,1.08806,1.08811,543,0,0
2023.01.25,10:00:00,1.08811,1.08914,1.08784,1.08911,829,0,0
2023.01.25,10:05:00,1.08911,1.08912,1.08867,1.08879,394,0,0
2023.01.25,10:10:00,1.08881,1.08902,1.08845,1.08866,341,0,0
2023.01.25,10:15:00,1.08864,1.08882,1.08833,1.08845,495,0,0
2023.01.25,10:20:00,1.08845,1.08911,1.08823,1.08891,405,0,0
2023.01.25,10:25:00,1.08891,1.08906,1.08833,1.08863,453,0,0
2023.01.25,10:30:00,1.08864,1.08902,1.08854,1.08894,369,0,0
2023.01.25,10:35:00,1.08894,1.08903,1.08872,1.08901,338,0,0
2023.01.25,10:40:00,1.08902,1.08904,1.08867,1.0887,264,0,0
2023.01.25,10:45:00,1.08867,1.08867,1.08712,1.08727,502,0,0
2023.01.25,10:50:00,1.08734,1.0876,1.08676,1.08757,604,0,0
2023.01.25,10:55:00,1.08757,1.08787,1.08742,1.0877,411,0,0
2023.01.25,11:00:00,1.08769,1.08794,1.08728,1.08778,469,0,0
2023.01.25,11:05:00,1.08776,1.08789,1.087,1.08712,461,0,0
2023.01.25,11:10:00,1.08712,1.08767,1.0871,1.08753,399,0,0
2023.01.25,11:15:00,1.08753,1.08794,1.08742,1.08789,359,0,0
2023.01.25,11:20:00,1.08789,1.08814,1.08782,1.08794,292,0,0
2023.01.25,11:25:00,1.08794,1.08829,1.08791,1.08817,324,0,0
2023.01.25,11:30:00,1.08818,1.08854,1.08813,1.08846,412,0,0
2023.01.25,11:35:00,1.08845,1.08902,1.08823,1.0888,373,0,0
2023.01.25,11:40:00,1.08879,1.08919,1.08863,1.08869,397,0,0
2023.01.25,11:45:00,1.08869,1.08879,1.08822,1.08849,365,0,0
2023.01.25,11:50:00,1.08847,1.08856,1.08803,1.08828,400,0,0
2023.01.25,11:55:00,1.08828,1.08843,1.08795,1.08813,378,0,0
2023.01.25,12:00:00,1.08814,1.08814,1.08776,1.08781,476,0,0
2023.01.25,12:05:00,1.0878,1.0879,1.08696,1.08717,446,0,0
2023.01.25,12:10:00,1.08717,1.0873,1.08675,1.08687,424,0,0
2023.01.25,12:15:00,1.08688,1.0869,1.08632,1.08674,504,0,0
2023.01.25,12:20:00,1.08672,1.08722,1.0866,1.0872,327,0,0
2023.01.25,12:25:00,1.08719,1.08742,1.08707,1.08711,299,0,0
2023.01.25,12:30:00,1.08712,1.08724,1.08644,1.08687,509,0,0
2023.01.25,12:35:00,1.08687,1.08713,1.08673,1.08689,429,0,0
2023.01.25,12:40:00,1.08689,1.08696,1.0866,1.08668,247,0,0
2023.01.25,12:45:00,1.08668,1.08699,1.0865,1.08698,343,0,0
2023.01.25,12:50:00,1.08698,1.08714,1.08667,1.08667,295,0,0
2023.01.25,12:55:00,1.08668,1.08689,1.08642,1.08659,410,0,0
2023.01.25,13:00:00,1.08658,1.08677,1.08641,1.08659,426,0,0
2023.01.25,13:05:00,1.08659,1.08697,1.08659,1.08686,340,0,0
2023.01.25,13:10:00,1.08684,1.08684,1.08606,1.08659,408,0,0
2023.01.25,13:15:00,1.08659,1.08687,1.0865,1.08667,461,0,0
2023.01.25,13:20:00,1.08667,1.08668,1.08574,1.08626,327,0,0
2023.01.25,13:25:00,1.08624,1.08659,1.08605,1.08638,260,0,0
2023.01.25,13:30:00,1.08638,1.08649,1.08593,1.08603,290,0,0
2023.01.25,13:35:00,1.08603,1.08625,1.08592,1.08619,316,0,0
2023.01.25,13:40:00,1.0862,1.08624,1.08574,1.08624,418,0,0
2023.01.25,13:45:00,1.08622,1.0865,1.08584,1.08646,364,0,0
2023.01.25,13:50:00,1.08646,1.08653,1.08609,1.08614,339,0,0
2023.01.25,13:55:00,1.08614,1.08651,1.08598,1.08645,359,0,0
2023.01.25,14:00:00,1.08643,1.08683,1.0864,1.08647,409,0,0
2023.01.25,14:05:00,1.08649,1.08651,1.08617,1.0864,280,0,0
2023.01.25,14:10:00,1.0864,1.08691,1.08639,1.08685,255,0,0
2023.01.25,14:15:00,1.08684,1.0869,1.0867,1.08674,273,0,0
2023.01.25,14:20:00,1.08674,1.08675,1.08586,1.08609,335,0,0
2023.01.25,14:25:00,1.0861,1.08661,1.0861,1.08635,463,0,0
2023.01.25,14:30:00,1.08635,1.08658,1.08594,1.08595,409,0,0
2023.01.25,14:35:00,1.08595,1.08675,1.08594,1.08645,519,0,0
2023.01.25,14:40:00,1.08644,1.08664,1.08633,1.0865,251,0,0
